created_at;full_text;hour_of_publication;text_length;contains_keywords
2023-11-16 15:13:18+00:00;@engiepartfr \n6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à aubagne sur un devis, malgré des multiples relances. je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle\npour le numéro 1 du service client c’est dommage;15;282;4
2023-11-26 07:34:34+00:00;bonjour @engiepartsav , l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? pas de bol , le premier jour où la température est négative.;7;156;1
2023-12-21 14:27:08+00:00;@engiepartfr mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'amiens n'intervient pas malgré deux semaines de relances pour avoir de l'eau chaude ! en plein hiver c'est scandaleux !;14;216;2
2023-12-28 21:32:58+00:00;@engiepartsav vous envisagez de vous occuper de l'agence fantôme du secteur grand marseille un jour, ou on va au tribunal ?\net non, je n'enverrai pas un énième mail que vous ne traiterez pas. vous avez une mise en demeure à traiter. et un signalement à la @dgccrf.;21;265;0
2023-12-29 10:08:10+00:00;"@engiepartsav retour de votre technicien ""vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression "" l'intégralité de la robinetterie a deux ans, refaite à neuf. vous ne respectez pas vos clients...";10;237;1
2023-12-29 11:13:42+00:00;@engiepartfr merci pour l'annulation d'entretien de dernière minute. ça me met bien dans la merde... quand au service client: ils ne comprennent rien. je retiens la leçon....;11;174;1
2023-12-29 12:16:46+00:00;je m’explique mal où c’est les personnes du chat qui ne comprennent rien ?\nc’est lunaire comme échange depuis hier !!! @engiepartfr faites quelques choses !!! 1/9;12;163;0
2023-12-29 14:01:48+00:00;@engiepartsav et c’est si compliqué d’expliquer ça? vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. donc sur ma prochaine facture il n’y aura plus cette ligne? donc cette partie correspond à la consommation de quelle période? que je puisse vérifier dans ma bdd?;14;293;1
2023-12-30 13:55:44+00:00;@engiepartfr bonjour, j'ai reçu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numérique avant le 01/01/2024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?;13;273;1
2024-01-01 12:45:32+00:00;@engiepartsav urgent !! une honte mon abonnement est passé à 0,32 du kwh ?!?? merci de me répondre urgemment ! alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !!;12;219;1
2024-01-01 16:59:03+00:00;bonjour @engiepartsav, alors que le prix repère moyen de vente du gaz publié par la @cre_energie est passé de 0,10406€ à 0,09990€/kwh entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686€ à 0,10230€ ? quelle est votre formule d'indexation ?;16;267;0
2024-01-02 10:24:08+00:00;@enedis @engiegroup @engiepartfr @enedis_clients @enedis_paris pour vous c’est normal de laisser des familles sans électricité ?\nplus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité \nen plein mois de janvier ou les températures sont basses !;10;279;1
2024-01-03 09:19:30+00:00;@engiepartfr : j'essaie de vous joindre depuis 48 h, impossible. j'ai envoyé un mail le 28.12, pas de réponse non plus. je veux adapter le montant de mon forfait : impossible sur votre site.;9;190;0
2024-01-03 14:40:58+00:00;@engiepartfr bonjour mon épouse n’a plus accès à son compte particulier pour consulter ses factures.\ncomment faire ?\nmerci;14;124;1
