created_at;full_text;importance_level;problem_type;text_length
2023-11-16 15:13:18+00:00;@engiepartfr n6 mois d’attente et tjs aucune reponse de l’agence engie home service grand marseille a aubagne sur un devis malgre des multiples relances je reste coince a appeler la plate-forme tel et a entendre qu’on me rappellenpour le numero 1 du service client c’est dommage;IMPORTANT;Délais d'Intervention;278
2023-11-26 07:34:34+00:00;bonjour @engiepartsav l’appli bug depuis hier suis-je le seul dans ce cas pas de bol le premier jour ou la temperature est negative;IMPORTANT;Problèmes avec l'Application;131
2023-12-21 14:27:08+00:00;@engiepartfr mon syndic de copropriete sergic en est a vous mettre en demeure car votre agence d'amiens n'intervient pas malgre deux semaines de relances pour avoir de l'eau chaude en plein hiver c'est scandaleux;URGENT;Critique;212
2023-12-28 21:32:58+00:00;@engiepartsav vous envisagez de vous occuper de l'agence fantome du secteur grand marseille un jour ou on va au tribunal net non je n'enverrai pas un enieme mail que vous ne traiterez pas vous avez une mise en demeure a traiter et un signalement a la @dgccrf;IMPORTANT;Délais d'Intervention;258
2023-12-29 10:08:10+00:00;@engiepartsav retour de votre technicien vous n'avez pas d'eau chaude car vos mousseurs sont entartres ca cree des probleme de pression l'integralite de la robinetterie a deux ans refaite a neuf vous ne respectez pas vos clients;IMPORTANT;Délais d'Intervention;228
2023-12-29 11:13:42+00:00;@engiepartfr merci pour l'annulation d'entretien de derniere minute ca me met bien dans la merde quand au service client ils ne comprennent rien je retiens la lecon;NEUTRE;Demande d'information;164
2023-12-29 12:16:46+00:00;je m’explique mal ou c’est les personnes du chat qui ne comprennent rien nc’est lunaire comme echange depuis hier @engiepartfr faites quelques choses 1/9;URGENT;Panne;153
2023-12-29 14:01:48+00:00;@engiepartsav et c’est si complique d’expliquer ca vous pouvez supprimer le chat si ils sont pas formes pour repondre au question donc sur ma prochaine facture il n’y aura plus cette ligne donc cette partie correspond a la consommation de quelle periode que je puisse verifier dans ma bdd;IMPORTANT;Problèmes de Facturation;288
2023-12-30 13:55:44+00:00;@engiepartfr bonjour j'ai recu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numerique avant le 01/01/2024 c'est scandaleux comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fetes de fin d'annee;URGENT;Critique;266
2024-01-01 12:45:32+00:00;@engiepartsav urgent une honte mon abonnement est passe a 032 du kwh merci de me repondre urgemment alors que j’avais un contrat de 2 ans a 010 je viens de m’apercevoir aujourd’hui que la facture a triple;IMPORTANT;Problèmes de Facturation;204
2024-01-01 16:59:03+00:00;bonjour @engiepartsav alors que le prix repere moyen de vente du gaz publie par la @creenergie est passe de 010406 a 009990/kwh entre decembre et janvier le prix de l'offre tranquillite est passe de 009686 a 010230 quelle est votre formule d'indexation;IMPORTANT;Problèmes de Facturation;252
2024-01-02 10:24:08+00:00;@enedis @engiegroup @engiepartfr @enedisclients @enedisparis pour vous c’est normal de laisser des familles sans electricite nplus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’electricite nen plein mois de janvier ou les temperatures sont basses;IMPORTANT;Délais d'Intervention;272
2024-01-03 09:19:30+00:00;@engiepartfr j'essaie de vous joindre depuis 48 h impossible j'ai envoye un mail le 2812 pas de reponse non plus je veux adapter le montant de mon forfait impossible sur votre site;URGENT;Critique;180
2024-01-03 14:40:58+00:00;@engiepartfr bonjour mon epouse n’a plus acces a son compte particulier pour consulter ses facturesncomment faire nmerci;IMPORTANT;Problèmes de Facturation;120
2024-01-04 08:33:30+00:00;@engiepartsav vous m’avez demande de venir en prive pour qu’on ne voit pas que vous ne repondez plus ma facture est de septembre et vous me dites qu’il s’agit des consommations de septembre a decembre j’attends toujours une explication;IMPORTANT;Problèmes de Facturation;235
2024-01-04 12:31:53+00:00;n’ayant pas twitter je passe par le compte d’un proche pour solliciter @engiepartfr qui me preleve et reclame des sommes aleatoires et faramineuses sans me prevenir en amont et sans jamais pouvoir les justifier comment debloquer cette situation qui me pese depuis des mois;IMPORTANT;Délais d'Intervention;272
2024-01-04 13:34:11+00:00;@engiepartsav @engiepartfr sommes arrives a 62432 je vous souhaite une bonne journee et compte sur moi pour commencer une guerre mediatique merci encore pour votre attention;IMPORTANT;Délais d'Intervention;173
2024-01-05 07:55:39+00:00;comme les afficher c’est ce qui marche @engiepartsav @engiepartfr vous deviez me rembourser dans un delai de 15j max selon vos dires ca va faire 2 mois que j’attends mes sous;IMPORTANT;Délais d'Intervention;174
2024-01-05 09:52:06+00:00;@engiepartfr deja une semaine et demi sans nouvelle de votre part plus d’eau chaude plus de chauffage on fait comment pour avoir une reponse c’est quoi ce service client @engiegroup;URGENT;Critique;181
2024-01-06 15:07:35+00:00;@engiepartfr bonjournje vous ai envoye un dm la semaine passee sans aucune reponse de votre part pourriez-vous avoir l'amabilite de porter un interet a mes questions sur des factures qui s'elevent a 280 pour le mois de novembre app de 67m2 entierement refait a neuf;IMPORTANT;Délais d'Intervention;265
2024-01-06 21:15:38+00:00;@brunolemaire deux questions moi mes parents et grands parents ont paye les centrales nucleaires pourquoi ce prix de l’electricite @engiegroup augmenter l’abonnement de 35 c’est a cause de la guerre en ukraine ou vs vs gavez bande de voleurs j’attends vos retours;NEUTRE;Demande d'information;263
2024-01-08 19:01:43+00:00;@engiepartsav bonjour @engiepartsav l’appli nouveau bug il fait -3 degres;IMPORTANT;Problèmes avec l'Application;73
2024-01-08 19:05:22+00:00;@engiepartsav bonsoir l appli ne fonctionne pas ce soir teste sur plusieurs telephones des qu il fait froid on dirait que les serveurs plantent;IMPORTANT;Problèmes avec l'Application;143
2024-01-08 19:18:30+00:00;c'est quand meme curieux @engiepartfr n chaque fois qu'il y a une vague de temperatures negatives l'application mon pilotage elec est en rade ca fait 3 fois depuis le debut de l'hiver le pire c'est qu'on te dit que tu n'es pas connecte a internet je suis en 5ghz;IMPORTANT;Problèmes avec l'Application;262
2024-01-08 21:20:58+00:00;merci @engiepartfr pour son appli de reglage de chauffage connecte qui ne fonctionne pas encore durant cette vague de froid avec 2 enfants en bas age;URGENT;Critique;149
2024-01-08 22:50:52+00:00;@engiepartfr 4h que je peux rien faire avec votre appli et qu’il fait -4 dehorsndeuxieme fois alors que je suis chez vous depuis 3 semaines va falloir m’expliquer la;IMPORTANT;Délais d'Intervention;165
2024-01-09 07:17:31+00:00;l’appli est toujours ko ce matin @engiepartsav @engiepartfr;IMPORTANT;Délais d'Intervention;59
2024-01-09 12:19:53+00:00;le foutage de gueule de @engiepartfr pour une maison de 96 m carre ou on vit a 4 en pleine periode de froid normal pour la saison ah il n'y pas de risques qu'il me file la prime;URGENT;Panne;177
2024-01-10 19:09:32+00:00;@ninie949378 @78190trappes @cdchabitat @villedetrappes @engieprofr @cdchetmoi @alirabeh en panne de chauffage et d'eau chaude avec @cdchetmoi @engiepartfr malgre des installations soi-disant neuves rien ne fonctionne;URGENT;Critique;216
2024-01-11 18:28:37+00:00;@engiepartfr nbonsoir serait-il possible d’avoir un contact 10 jours pour avoir un rdv avec un technicienune a 16 degres avec pompe a chaleur et neuve5 interventionstjr pareilca devient insupportable sans compter le service client inutile et la facture edf salee;IMPORTANT;Délais d'Intervention;262
2024-01-12 07:37:30+00:00;bon a savoir lorsqu @engiepartfr intervient chez vous pour un changement de piece banal vous pouvez vous retrouver ensuite sans chauffage on vous proposera ensuite un rdv dans 3 jours pour venir voir ce qui se passe;URGENT;Critique;215
2024-01-12 10:09:53+00:00;le plus gros suspense de l’annee n@engiepartfr;URGENT;Panne;46
2024-01-12 10:21:17+00:00;@engiepartsav bonjournplus de courant sur la commune de saint hilaire de clisson une idee de ce qu'il se passe;IMPORTANT;Délais d'Intervention;110
2024-01-12 11:06:59+00:00;nune cliente d’@engiepartfr a recu un courrier de renouvellement de son offre de fourniture de gaz et d’electricite sans mention des nouveaux prix de l'abonnement et du kwh il contient seulement 8 pages d' annexe de prix 1/4;NEUTRE;Demande d'information;224
2024-01-13 19:29:54+00:00;@engiegroup @engiepartfr pq vous mettez plusieurs jours pr envoyer qqun nous depanner en plein hiver en plus qqun qui vient qui n’a meme pas la piece qu’il faut on est sans eau chaude ni chauffage depuis 2 jours c’est inhumain de traiter les gens comme ca;URGENT;Critique;255
2024-01-14 19:24:56+00:00;@y770 @engiegroup @engiepartfr bienvenue au club on attend toujours qu'ils nous recontactent;IMPORTANT;Service Client Injoignable;92
2024-01-15 15:54:58+00:00;48h que nous avons demande une intervention d'urgence dans notre immeuble @engieprofr @engiepartfr engie solutions engie home services et toujours rienpourtant l'eau coule en continu depuis 48h et plus personne n'a de chauffage y compris nos aimes de 90 ans vivants seuls;IMPORTANT;Délais d'Intervention;271
2024-01-16 08:18:21+00:00;@engiepartfr pourquoi engie envoie plus mes factures par la postenj'ai pas voulu leur dematerialisation;IMPORTANT;Problèmes de Facturation;103
2024-01-17 06:44:38+00:00;@cdchetmoi @cdchabitat @engiegroup accepteriez vous cela pour votre famille;URGENT;Panne;75
2024-01-17 11:20:30+00:00;attention engie rode ds nos quartiers ltlt engie gtgt ltltgdf je n'ai a vendre je verifie vos contrats vous n'avez rien a faire juste a tel a engie pour prendre le duo gaz elec gtgt a part ca vous n'avez rien a vendre n@edfofficiel @lcp @ufcquechoisirn@engiepartfr;IMPORTANT;Problèmes de Facturation;264
2024-01-17 11:23:05+00:00;dans un 60m2 avec un seul chauffage qui fonctionne 24h/24 et un autre uniquement la nuit une tv un frigo une machine a laver et une plaque induction on est d'accord que c'est absolument pas normal d'avoir une facture de 300 balles n@engiepartfr faut me venir en aide;IMPORTANT;Problèmes de Facturation;266
2024-01-17 13:45:59+00:00;@engiepartsav deux mois sans eau chaude meme en mettant en demeure votre agence d'amiens aucune reponse de vos services;URGENT;Critique;119
2024-01-17 14:42:23+00:00;@engiegroup bonjour pourquoi j’ai une option electricite verte sur un contrat de gaz nca fait 24 mois que vous me facturez 3 en plus sur un contrat de gaz nvolez-vous vos clients;IMPORTANT;Problèmes de Facturation;178
2024-01-19 09:24:28+00:00;@engiepartsav bonjour @engiepartfr votre reponse est inadmissible nvous m'indiquez juste que vous pensez que le probleme est pris en compte et vous nous communiquerez une date d'intervention nil neige en picardie et ma mere est sans chauffage par votre faute bougez vous;IMPORTANT;Délais d'Intervention;270
2024-01-20 13:40:48+00:00;@latribune tu en penses quoi @engiepartfr j'ai hate de voir ma mensualisation baisser apres avoir presque doublee cette annee;URGENT;Panne;125
2024-01-21 11:20:05+00:00;nous sommes le 21 janvier 2024 et @engiepartsav @engiepartfr n'a toujours pas traite ni la resiliation ni le remboursement ni le signalement @dgccrf un niveau d'incompetence rare;IMPORTANT;Problèmes de Facturation;178
2024-01-21 17:21:23+00:00;@engiepartfr vu que le contact semble globalement complique j'en suis reduit a devoir essayer ici donc je recapitule en decembre 2023 je constate une panne sur ma chaudiere qui a ete installee l'annee derniere et que j'ai payee au prix fort celle-ci ne fonctionnait plus;URGENT;Critique;270
2024-01-21 17:30:40+00:00;@engiepartsav bonjour est-ce qu’il est possible de telecharger l’historique horaire de ses consommations d’electricite je n’obtiens qu’un fichier avec les releves mensuels alors que l’option du suivi horaire est activee;IMPORTANT;Problèmes de Facturation;219
2024-01-22 08:55:16+00:00;@60millions @engiepartsav je ne sais pas non plus si @ufcquechoisir peut m'aider mais la de toute facon j'irai voir mes pires ennemis si j'en avais j'en ai marre;URGENT;Panne;161
2024-01-22 14:20:26+00:00;@engiepartfr @engiepartsav faire une demande d’intervention urgente pour une chaudiere qui a lache depuis samedi matin et s’entendre dire que les plannings sont pleins par une personne tres desagreable au telephone c’est ca votre sav pour rappel une urgence immediat;URGENT;Critique;266
2024-01-23 18:55:11+00:00;je pense qu’il faut vraiment remercier le gouvernement et monsieur @brunolemaire pour son double sur les nouveaux tarifs d’electricitennil a quand meme reussi l’exploit de faire plus augmenter les tarifs qui sont les plus interessants pour @enedis les tarifs tempo et hp/hcnnexploit d’autant plus remarquable que le gaz est maintenant moins taxe que l’electricite alors que c’est une energie fossile emettrice de co2nnun champion comme ca il faut absolument le garder @gabrielattal;IMPORTANT;Problèmes de Facturation;481
2024-01-24 15:05:49+00:00;@chcuny @brunolemaire @enedis et encore mon gaz a fait 37 malgre une diminution de ma consommation de 25 et une baisse du cout global par les fournisseurs faut que je regarde en detail mon contrat je comprends pas non plus une tel augmentation @engiepartfr;IMPORTANT;Problèmes de Facturation;256
2024-01-24 22:42:50+00:00;vous m’expliquez @engiepartfr @engiepartsav depuis octobre vous me rajoutez entre 20 et 30 par mois discretement mais je vous vois n;IMPORTANT;Délais d'Intervention;132
2024-01-24 23:24:18+00:00;@engiepartfr je passe de 122 a 262par mois je dois payer 511 de regulation vous me faites payer une intervention d'un technicien jamais venu et a cote quand je vous contacte pour me dire qu'il y a un soucis personne se deplace nj'ai 33m les kheys pas 230;IMPORTANT;Délais d'Intervention;254
2024-01-25 09:19:23+00:00;bonjour @engiepartfr nimpossible de se connecter sur l espace client de votre site c est normal j aimerais comprendre l aberration de ma facture;IMPORTANT;Problèmes de Facturation;144
2024-01-25 10:06:37+00:00;@engiepartsav bj j'ai essaye de regle son radiateur il n'y a pas de mode d'emploi et j'ai pu enlever quelques pre-reglages jai tout mis sur 15 il fait 17 degres chez elle je lui ai dit de tenir deux jours pour voir si ca change sa consommation journaliere d'ici lundi je vous contact thx;IMPORTANT;Service Client Injoignable;287
2024-01-26 07:05:15+00:00;@engiepartsav bonjoura quand un service client digne de ce nomcela fait maintenant 5 ans que j’ai un compteur linky et tous les ans je relance vos services car il n’est pas communiquantdenier en date 12/23et tjrs riendites le si vous ne voulez rien faire;IMPORTANT;Service Client Injoignable;254
2024-01-26 12:58:44+00:00;cher @engiepartsav @engiepartfr il m'a fallu 3ans avec les anciens proprio pour changer un compteur des relances tous les mois et 3 rendez vous ou vous n'etes pas venu depuis ca fait 4mois que vous etudiez une facture erronee et vos conseillers ne disent jamais la meme chose;IMPORTANT;Problèmes de Facturation;275
2024-01-27 14:07:13+00:00;@biduleanatheme @engiepartsav @dgccrf bonjour @biduleanatheme nous sommes dans le meme cas que vous vis a vis des escrocs de l’agence engie home services grand marseille contrat de maintenance annuelle paye mais non honore sans compter les rendez vous maintenance ou depannage annules courrier ar sans reponse;IMPORTANT;Problèmes avec l'Application;309
2024-01-27 14:16:11+00:00;bonjour @engiepartsav que faut il faire pour que l’agence grand marseille traite enfin notre demande de remboursement d’un contrat de maintenance annuelle securite paye et jamais honore;IMPORTANT;Problèmes de Facturation;185
2024-01-27 14:20:33+00:00;@engiepartsav nimpossible de joindre l’agence par telephone pas de reponse aux differentes tentatives de contact y compris courrier ar nous sommes toujours en attente d’un rappel qui ne vient jamais une honte faut-il saisir la @dgccrf porter plainte pour escroquerie;IMPORTANT;Service Client Injoignable;266
