week;Tweets par semaine
2023-11-13/2023-11-19;1
2023-11-20/2023-11-26;1
2023-12-18/2023-12-24;1
2023-12-25/2023-12-31;6
2024-01-01/2024-01-07;12
2024-01-08/2024-01-14;15
2024-01-15/2024-01-21;12
2024-01-22/2024-01-28;13
2024-01-29/2024-02-04;14
2024-02-05/2024-02-11;12
2024-02-12/2024-02-18;11
2024-02-19/2024-02-25;14
2024-02-26/2024-03-03;21
2024-03-04/2024-03-10;16
2024-03-11/2024-03-17;9
2024-03-18/2024-03-24;12
2024-03-25/2024-03-31;11
2024-04-01/2024-04-07;15
2024-04-08/2024-04-14;9
2024-04-15/2024-04-21;10
2024-04-22/2024-04-28;6
2024-04-29/2024-05-05;7
2024-05-06/2024-05-12;5
2024-05-13/2024-05-19;11
2024-05-20/2024-05-26;14
2024-05-27/2024-06-02;5
2024-06-03/2024-06-09;11
2024-06-10/2024-06-16;2
2024-06-17/2024-06-23;4
2024-06-24/2024-06-30;5
2024-07-01/2024-07-07;6
2024-07-08/2024-07-14;4
2024-07-15/2024-07-21;9
2024-07-22/2024-07-28;5
2024-07-29/2024-08-04;5
2024-08-05/2024-08-11;10
2024-08-12/2024-08-18;3
2024-08-19/2024-08-25;7
2024-08-26/2024-09-01;8
2024-09-02/2024-09-08;5
2024-09-09/2024-09-15;5
2024-09-16/2024-09-22;7
2024-09-23/2024-09-29;5
2024-09-30/2024-10-06;12
2024-10-07/2024-10-13;8
2024-10-14/2024-10-20;10
2024-10-21/2024-10-27;6
2024-10-28/2024-11-03;7
2024-11-04/2024-11-10;6
2024-11-11/2024-11-17;10
2024-11-18/2024-11-24;18
2024-11-25/2024-12-01;7
2024-12-02/2024-12-08;14
2024-12-09/2024-12-15;13
2024-12-16/2024-12-22;6
2024-12-23/2024-12-29;6
2024-12-30/2025-01-05;8
2025-01-06/2025-01-12;9
2025-01-13/2025-01-19;5
2025-01-20/2025-01-26;17
2025-01-27/2025-02-02;7
2025-02-03/2025-02-09;3
2025-02-10/2025-02-16;8
2025-02-17/2025-02-23;11
2025-02-24/2025-03-02;15
2025-03-03/2025-03-09;6
